Row,E1,E2,E3,E4,E5,E6
Abs,0.153225306144595,0.167481708076395,0.167481708076393,6.65354166666667,0.251427096949524,0.0284319894788481
Impact,67973.7369745703,65229.6490420123,63938.4402872717,65350.114212409,67101.0336837668,0
Excess,0.128503726516535,0.0150119232754926,4.29447364841741e-05,7.46312232722665,0.0607526344483248,0.102708377392306
